Cena zakupu (netto)
10.33
17.47
15.1
11.27
22.78
13.49
8.3
10.96
7.5
18.09
22.43
11.33
23.28
18.03
14.61
13.49
20.67
21.88
18.48
16.69
10.83
12.1
9.93
17.72
13.04
18.65
19.6
20.38
21.43
29.82
13.85
33.31
21.75
17.99
15.17
17.47
30.27
23.32
10.14
10.53
16.91
22.76
13.52
22.47
20.41
12.57
19.43
19.87
20.38
19.12
98.69
101
101.99
133.45
138.28
138.29
158.29
184.95
188.89
220.99
106.19
115.76
147.1
187.78
169.48
142.11
130.19
135.45
163.95
205.35
204.06
111.51
126.32
148
165.04
191
225.85
158.01
283.87
183.74
182.93
241
263.71
23.69
87.87
8.96
43.46
10.16
44.63
11.6
41.78
51.17
10.95
7.79
41.82
9.7
9.09
13.77
8.55
20.88
7.69
7.88
8.56
7.61
7.88
9.39
35.05
11.54
41.86
4.46
6.44
2.33
9.84
1.88
1.88
7.84
4.6
7.1
4.26
3.74
1.22
1.43
8.14
9.87
3.49
0.81
4.18
4.64
6.06
4
6.55
6.68
6.83
6.41
6.68
7.9
7.57
6.41
3.9
3.75
3.75
3.9
4.75
4.75
5.24
4.75
9.24
3.7
4.32
5.1
5.51
3.76
3.76
3.76
3.76
3.76
3.76
4.51
3.95
3.95
3.95
7.8
7.41
7.41
7.41
7.41
7.8
7.8
4.16
3.94
4.15
4.15
4.15
3.95
3.94
3.95
7.8
7.8
7.41
7.8
7.8
5.56
5.56
5.56
8.62
15.5
10.4
10.53
8.36
10.05
11.21
14.2
10.85
17.04
13.72
15.27
9.02
20.22
11.39
14.43
11.65
6.93
12.6
8.37
8.21
11.02
10.97
10.01
10.68
12.7
7.52
8.05
11.31
8.98
8.15
8.91
14.04
10.62
4.84
8.8
9.86
8.46
10.09
12.24
15.04
16.72
167.86
12.75
8.71
0.97
0.8
1.15
1.95
1.47
1.36
1.46
11.49
12.44
3.34
2.39
20.55
12.72
29.92
59.39
17.61
6.64
22.04
59.57
13.48
64.3
21.39
7.95
7.75
6.47
46.13
18.79
11.77
99.85
24.28
14.87
60.1
60.16
43.08
12.12
13.26
26.36
3.06
3.66
1.14
0.47
0.63
6.1
0.92
0.45
0.48
1.49
1.49
12.24
14.04
3.06
14.87
8.1
5.94
3.83
7.02
3.95
5.31
0.32
0.32
21.12
28.8
26.1
3.69
3.96
0.5
0.59
8.91
11.84
11.03
10.24
16.54
29.72
35
34.51
37.43
39.58
32.38
40.79
39.55
68.64
51.01
55.78
75.54
66.64
37.76
47.86
41.06
59.09
65.12
57.55
52.44
50.23
46.93
53.08
43.15
32.23
37.5
46.81
42.2
53.36
31.29
39.69
61.53
55.91
72.58
55.22
59.96
60.9
66.13
63.15
77.66
60.6
63.83
45.59
10.54
6.79
6.02
5.98
6.07
7.15
6.17
5.06
5.25
4.63
6.87
5.73
10.18
10.71
10.8
9.72
12.38
16.94
11.64
11.32
6.32
11.33
5.74
21.66
16.38
7.07
5.82
28.25
5.74
8.3
27.73
8.27
7.76
3.38
4.7
7
6.1
4.7
6.79
86.46
47.62
19.98
8.03
10.11
12.03
14.51
6.75
8.81
12.44
5.19
5.19
8
12.44
11.5
14.95
14.95
15.5
15.5
15.5
14.95
5.35
6.11
5.35
5.44
5.35
5.35
5.35
5.35
16.15
2.42
1.48
7.22
18.91
12.54
7.57
7.23
9.15
4.61
4.12
14.69
12.72
3.97
12.8
23.32
8.52
34.2
8.26
7.24
15.69
34.3
2.09
8.54
10.46
23.63
3.03
5.32
12.07
42.63
4.6
1.83
1.54
4.44
1.34
4.44
7.18
10.99
6.38
8.03
1.79
0.72
3.99
6.88
12.68
10.61
3.39
3.11
7.07
6.52
6.69
6.95
4.66
18.46
6.17
26.44
7.64
41.63
6.94
44.88
41.09
34.04
41.83
44.3
59.15
82.55
67.6
35.21
22.11
24.02
27.28
20.54
17.71
21.36
27.7
25.8
27.36
19.12
38.88
