1#,1#,Ilość,Cena netto,Wartość netto,Wartość brutto
NGK V-LINE NR17,87295062371,4,"5,25",21,"25,83"
NGK V-LINE NR16,87295047835,4,"5,06","20,24","24,9"
NGK V-LINE NR15,87295029411,4,"6,17","24,68","30,36"
NGK V-LINE NR14,87295064658,4,"7,15","28,6","35,18"
NGK V-LINE NR13,87295053393,8,"6,07","48,56","59,73"
NGK V-LINE NR12,87295061299,4,"5,98","23,92","29,42"
NGK V-LINE NR11,87295052822,4,"6,02","24,08","29,62"
NGK V-LINE NR10,87295035771,4,"6,79","27,16","33,41"
NGK V-LINE NR9,87295031537,4,"6,79","27,16","33,41"
NGK V-LINE NR8,87295023648,4,"4,7","18,8","23,12"
NGK V-LINE NR7,87295011836,4,"6,1","24,4","30,01"
NGK V-LINE NR5,87295064665,4,"4,7","18,8","23,12"
NGK V-LINE NR4,87295056370,8,"3,38","27,04","33,26"
NGK V-LINE NR3,87295045534,4,"5,74","22,96","28,24"
NGK V-LINE NR2,87295022689,4,"5,73","22,92","28,19"
NGK V-LINE NR1,87295028766,4,"10,54","42,16","51,86"
7#,7#,0,0,0,0
Filtr oleju Filtron OP 539,5904608005397,2,"8,53","17,06","20,98"
Filtr oleju OP 541,5904608005410,1,"9,12","9,12","11,22"
Filtr oleju Filtron OE 540/1,5904608015402,1,"10,68","10,68","13,14"
Filtr oleju Filtron OE 537,5904608005373,2,"11,02","22,04","27,11"
CERAM CB,5907439901029,2,"45,61","91,22","112,2"
CERAM CK,5907439901012,1,"55,76","55,76","68,58"
CERAM CM-2T,5907439901050,1,"27,64","27,64",34
Filtr oleju Filtron OP 569,5904608005694,1,"12,42","12,42","15,28"
8#,8#,0,0,0,0
NGK V-LINE NR24,87295030455,8,"12,38","99,04","121,82"
NGK V-LINE NR26,87295168950,8,"11,64","93,12","114,54"
NGK V-LINE NR27,87295054611,4,"11,32","45,28","55,69"
NGK V-LINE NR29,87295063422,4,"11,33","45,32","55,74"
NGK V-LINE NR31,87295063446,4,"16,38","65,52","80,59"
NGK V-LINE NR32,87295063453,4,"7,07","28,28","34,78"
NGK V-LINE NR33,87295016626,4,"5,82","23,28","28,63"
NGK V-LINE NR35,87295016671,4,"5,74","22,96","28,24"
NGK V-LINE NR39,87295057766,4,"7,76","31,04","38,18"
NGK V-line NR40,87295817636,6,"9,64","57,84","71,14"
NGK V-LINE NR41,NR41,4,"10,87","43,48","53,48"
NGK V-line NR42,87295874721,4,"13,11","52,44","64,5"
NGK V-line NR45,87295864630,4,"6,51","26,04","32,03"
NGK V-line NR46,87295822975,4,"10,75",43,"52,89"
NGK V-line NR48,87295868157,4,"10,8","43,2","53,14"
NGK V-line NR53,8795843017,4,"10,19","40,76","50,13"
Świeca zapłonowa Denso K16TT,42511460348,4,"6,16","24,64","30,31"
Świeca zapłonowa NGK DCPR7EN-10,87295149836,4,"15,35","61,4","75,52"
Świeca zapłonowa Bosch 0 242 236 560-7A0,4047024115514,4,"5,3","21,2","26,08"
Świeca zapłonowa NGK DPR8EA-9,87295149294,3,"6,41","19,23","23,65"
Świeca zapłonowa NGK BPR6ES,87295178225,1,"6,03","6,03","7,42"
Świeca zapłonowa NGK BKUR5ET-10,87295175538,4,"8,67","34,68","42,66"
Świeca żarowa D-power nr4,87295156056,4,"19,64","78,56","96,63"
Świeca zapłonowa NGK BKR5ES,87295124604,1,"5,26","5,26","6,47"
Świeca zapłonowa Bosch 0 242 235 758,3165143505250,4,"11,81","47,24","58,11"
9#,9#,0,0,0,0
Wentyl 4max 4806-20-0413P,IC-B76FFB,97,"0,6","58,2","71,59"
Poduszka skrzyni biegów FZ90379,IC-B44D2C,1,"35,96","35,96","44,23"
Linka ham. Linex 14.20.01,14.20.01,1,"11,72","11,72","14,42"
Linka ham. Linex 14.20.02,14.20.02,1,"11,73","11,73","14,43"
Uszczelka pokrywy zaw. EL068190,4041248147955,1,"15,44","15,44","18,99"
Uszczelka kolektora EL480650,4041248511893,2,"27,17","54,34","66,84"
Pasek antystatyczny MMT O176 PA100,5901225422736,2,"2,23","4,46","5,49"
Uszczelka Bosal 256-705,3351642567053,1,"3,56","3,56","4,38"
Uszczelka tłumika Bosal 256-054,3351642560542,1,"3,78","3,78","4,65"
Uszczelka tłumika Bosal 256-087,3351642560870,1,"2,6","2,6","3,2"
Kierunkowskaz Depo 661-1406N-UE,661-1406N-UE,1,"10,43","10,43","12,83"
Kierunkowskaz Depo 215-1424N-UE,215-1424N-UE,2,"6,6","13,2","16,24"
Oprawka Hella 12 26 084,IC-598071,1,"20,55","20,55","25,28"
Lampa kierunkowskazu Depo 442-1403N-UE,442-1403N-UE,1,"8,18","8,18","10,06"
Linka ham. ręcznego Linex 14.01.03,14.01.03,1,"29,32","29,32","36,06"
Tuleja wahacza Tedgum 00213189,5908229910375,4,"8,05","32,2","39,61"
Poduszka silnika FZ90358,IC-B4173A,1,"30,09","30,09","37,01"
Osłona przegubu Impregom 27438,8033989080543,1,"7,31","7,31","8,99"
Klucz do świec TOPTUL 21mm CTFB2135,5900427602618,1,"20,55","20,55","25,28"
Poduszka skrzyni biegów IMP26046,8033989068350,1,"27,36","27,36","33,65"
10#,10#,0,0,0,0
Wycieraczki Valeo VAL577845,3276425778450,1,"74,79","74,79","91,99"
Sprężyna gazowa MM GS0100 430719010000,8001063455396,2,"17,5",35,"43,05"
Sprężyna gazowa MM GS0080 430719008000,1063455198,2,"15,58","31,16","38,33"
Sprężyna gazowa Krosno KR23115,5907446222063,1,"25,06","25,06","30,82"
Sprężyna gazowa Krosno KR21678,5907446226320,2,"18,47","36,94","45,44"
HP302 763 Dystans,9532310000018,1,"7,91","7,91","9,73"
Wieszak t?umika Bosal 255-079,3351642550796,2,"2,61","5,22","6,42"
Pokrowiec kierownicy MMT CP10061,5902596581244,3,"25,59","76,77","94,43"
Uszczelka głowicy Elring EL710.251,4041248119112,2,"22,15","44,3","54,49"
Uszczelka głowicy Elring EL144.470,4041248010976,1,"24,44","24,44","30,06"
Uszczelka pokrywy Elring EL136.271,4041248567135,1,"8,67","8,67","10,66"
Linka hol. MMT A155 002,5900744092222,1,"21,97","21,97","27,02"
Pasek klinowy Conti 10x613,4010858780319,1,"7,5","7,5","9,23"
Pasek klinowy Conti 10x800,4010858780074,1,"6,39","6,39","7,86"
Pasek klinowy Conti 10x913,4010858780166,2,"7,13","14,26","17,54"
Pasek klinowy Conti 10 x 735,4010858780050,1,"8,37","8,37","10,3"
Pasek klinowy Conti 10 x 710,4010858878849,1,"7,59","7,59","9,34"
Pasek wieloklinowy Conti 4PK950,4010858478575,1,"14,85","14,85","18,27"
11#,11#,0,0,0,0
Wahacz Febi FE15952,4027816159520,1,"122,64","122,64","150,85"
Wahacz Magneti ARM001 301181300100,8001063172866,1,151,151,"185,73"
Wahacz Magneti ARM002 301181300200,8001063172873,1,"77,36","77,36","95,15"
Łańcuchy antypoślizgowe E9/90,8429296990000,1,"60,92","60,92","74,93"
Szczęki ham. LPR00890,8032532037133,1,"24,49","24,49","30,12"
Szczęki ham. LPR08770,8032532063750,1,"76,33","76,33","93,89"
CHAINLUBE ROADP C2+ 400ml,3374650005218,1,"21,35","21,35","26,26"
MA 20-A10 Smar miedziany spray 400ml,20-A10,2,"10,56","21,12","25,98"
MA 20-A04 Środek do styków 250ml,5905694012207,1,"8,12","8,12","9,99"
GREASEN GRAFIT 800G Orlen Smar grafitowy,5901001777654,1,"10,13","10,13","12,46"
12#,12#,0,0,0,0
Filtr powietrza FILTRON AP092/9,5904608100924,1,"21,43","21,43","26,36"
Filtr powietrza B2G029PR,IC-AA1EF1,1,"10,26","10,26","12,62"
Filtr powietrza PURFLUX A1143,3286064000270,1,"30,09","30,09","37,01"
Filtr powietrza Filtron AP 107/2,5904608031075,2,"32,57","65,14","80,12"
Filtr powietrza b2c025PR,IC-C57EFE,1,"11,99","11,99","14,75"
Filtr powietrza B2R018PR AP 134/1,IC-BA87CB,1,"14,67","14,67","18,04"
Filtr powietrza B2R024PR AP132,IC-A9C559,1,8,8,"9,84"
Filtr powietrza FILTRON AP130/10,5904608111302,1,"33,31","33,31","40,97"
Filtr powietrza B2P012PR,IC-A9C547,1,"8,1","8,1","9,96"
Filtr powietrza B23045PR AP111/1,IC-A900D8,2,"12,25","24,5","30,14"
