1,KOD,ILOSC,nr z odkupu,NAZWA_TOWARU,KOD,ILOSC,IND_IC,NAZWA,CENA DO ODKUPU PLN ZA 1 SZT.
Filtr paliwa Filtron PE 816/4,5904608058164,1,,Filtr powietrza B2V012PR AP 149,IC-AA1EF7,1,AP 149,Filtr powietrza,"16,79"
2,,,,Filtr powietrza Filtron AP 089,5904608000897,1,AP 089,Filtr powietrza,"16,76"
"NAZWA_TOWA,C,120","SYMBOL,C,16","ILOSC,N,9,3",,Filtr oleju Filtron OP 526/5,5904608055262,2,OP 526/5,Filtr oleju,"16,74"
Filtr oleju Filtron OE 670,5904608006707,1,,Filtr paliwa B3W006PR PP 839/1,IC-AA0D6C,1,PP 839/1,Filtr paliwa,"16,69"
Filtr oleju Filtron OE 672,5904608006721,1,,Filtr paliwa FILTRON PP 839/1,5904608018397,1,PP 839/1,Filtr paliwa,"16,69"
Filtr oleju FIltron OE 674/6,5904608076748,1,,Filtr powietrza B25061PR AP 120/4,IC-AA0A5C,1,AP 120/4,Filtr powietrza,"16,61"
Filtr oleju Filtron OE 674/2,5904608036742,2,,Filtr powietrza B2G070PR AK 372/1,IC-BDC016,1,AK 372/1,Filtr powietrza,"16,51"
Filtr oleju Filtron OE 666/1,5904608026668,1,,Filtr kabinowy B4V000PR K1126,IC-A9FC92,1,K 1126,Filtr kabiny,"16,29"
Filtr oleju Filtron OE 649/7,5904608086495,2,,LA167,4009026509166,1,LA167,Filtr kabiny,"16,15"
Filtr oleju Filtron OE 650/2,5904608036506,3,,Filtr powietrza B2A015PR AP 179/2,IC-BA1705,1,AP 179/2,Filtr powietrza,"16,07"
Filtr oleju Filtron OE 671,5904608006714,1,,Filtr powietrza B22102PR AP 178/1,IC-AA0E87,1,AP 178/1,Filtr powietrza,"15,89"
Filtr oleju Filtron OE 685/4,5904608056856,1,,Filtr kabinowy B4P016CPR K1147A,IC-B4D534,1,K 1147A,Filtr kabiny,"15,56"
Filtr oleju Filtron OE 673,5904608006738,1,,Filtr powietrza B2W058PR AP 183/3,IC-BA7090,1,AP 183/3,Filtr powietrza,"15,39"
Filtr oleju Filtron OE 682,5904608006820,1,,Filtr kabinowy B4V002PR K1117,IC-A9FC93,1,K 1117,Filtr kabiny,"15,34"
Filtr oleju Filtron OE 669,5904608006691,1,,Filtr powietrza B21051PR AP 134/7,IC-AA0E85,1,AP 134/7,Filtr powietrza,"15,34"
Filtr oleju Filtron OE 666,5904608006660,2,,Filtr kabinowy B4X023PR K1121,IC-BDC004,1,K 1121,Filtr kabiny,"15,26"
Filtr oleju Filtron OE 662,5904608006622,1,,Filtr oleju Filtron OP 526/6,5904608065261,1,OP 526/6,Filtr oleju,"15,21"
Filtr oleju Filtron OE 667/1,5904608026675,2,,Filtr powietrza Filtron Ap 122/9,5904608101228,1,AP 122/9,Filtr powietrza,"15,12"
Filtr oleju Filtron OE 683,5904608006837,1,,Filtr paliwa B3G005PR PP 865/2,IC-A9C494,1,PP 865/2,Filtr paliwa,"15,05"
Filtr oleju Filtron OE 682/2,5904608036827,1,,Filtr kabinowy B4M010PR K1065,IC-AA0645,1,K 1065,Filtr kabiny,"15,01"
Filtr oleju Filtron oe 685/2,5904608036858,1,,Filtr powietrza B2W026PR AR 265/1,IC-AEF687,1,AR 265/1,Filtr powietrza,"14,65"
Filtr oleju Filtron OE 666/2,5904608036667,1,,Filtr kabinowy B4W007PR K1037,IC-A9FCEC,1,K 1037,Filtr kabiny,"14,54"
Filtr oleju OE 650/1,5904608026507,3,,Filtr oleju filtron OP 641/1,5904608026415,1,OP 641/1,Filtr oleju,"14,51"
Filtr oleju Filtron OE 649/1,5904608016492,1,,Filtr paliwa Filtron PP 865/5,5904608068651,1,PP 865/5,Filtr paliwa,"14,49"
Filtr oleju Filtron OE 650,5904608006509,1,,Filtr powietrza Filtron AP 051/4,5904608050519,3,AP 051/4,Filtr powietrza,"14,46"
Filtr oleju Filtron OE 655,5904608006554,1,,Filtr powietrza Filtron AP 195,5904608001955,1,AP 195,Filtr powietrza,"14,45"
Filtr oleju Filtron OE 648/5,5904608066480,2,,Filtr oleju Filtron OP 592/5,5904608065926,1,OP 592/5,Filtr oleju,"14,44"
Filtr oleju Filtron OE 649/6,5904608076496,1,,Filtr kabinowy B40513PR K1250,IC-C730B3,1,K 1250,Filtr kabiny,"14,37"
Filtr oleju Filtron OE 649/4,5904608046499,2,,Filtr paliwa B3W016PR PP 839,IC-A9FCBA,2,PP 839,Filtr paliwa,"14,3"
Filtr oleju Filtron OE 649/2,5904608026491,1,,Filtr oleju Filtron OE 650,5904608006509,1,OE 650,Filtr oleju,"14,15"
Filtr oleju OE 650/1,5904608026507,1,,Filtr kabinowy B42011PR K1207,IC-A8FE0C,1,K 1207,Filtr kabiny,"14,08"
Filtr oleju Filtron OE 649/5,5904608066497,1,,Filtr powietrza FILTRON AP 051/5,5904608060518,2,AP 051/5,Filtr powietrza,"14,07"
Filtr oleju Filtron OE 640/3,5904608036407,1,,Filtr kabinowy Filtron K1287,5904608802873,1,K 1287,Filtr kabiny,"14,04"
Filtr oleju Filtron OP 643/5,5904608066435,2,,Filtr powietrza B20028PR AP 051/8,IC-BDBFF6,1,AP 051/8,Filtr powietrza,"14,03"
Filtr oleju Filtron OP 642/3,5904608046420,1,,Filtr powietrza Filtron AP 003/3,5904608040039,1,AP 003/3,Filtr powietrza,"13,98"
Filtr oleju filtron OP 641/1,5904608026415,1,,Filtr powietrza Filtron AP 011,5904608000118,1,AP 011,Filtr powietrza,"13,97"
Filtr oleju Filtron OE 640/7,5904608086402,1,,Filtr powietrza B2W030PR AP 149/3,IC-AA1FAC,1,AP 149/3,Filtr powietrza,"13,87"
Filtr oleju Filtron OE 648/3,5904608046482,1,,Filtr oleju Filtron OP 574,5904608005748,1,OP 574,Filtr oleju,"13,86"
Filtr oleju Filtron OE 648/1,5904608016485,1,,Filtr powietrza B2G064PR AP 074/4,IC-BA7B4F,1,AP 074/4,Filtr powietrza,"13,84"
Filtr oleju Filtron OP 546/1,5904608025463,1,,Filtr powietrza B20529PR AP 107/7,IC-B3B3A7,1,AP 107/7,Filtr powietrza,"13,75"
Filtr oleju Filtron OP 641,5904608006417,1,,Filtr powietrza B2S002PR AP 189/1,IC-AE7CE0,1,AP 189/1,Filtr powietrza,"13,7"
Filtr oleju Filtron OP 545/2,5904608025456,1,,Filtr paliwa PE 815/5,5904608068156,1,PE 815/5,Filtr paliwa,"13,68"
Filtr oleju Filtron OE 640/5,5904608056405,1,,Filtr kabinowy B4D002CPR K1035A,C-AA05F3,1,K 1035A,Filtr kabiny,"13,66"
Filtr oleju Filtron OE 640/6,5904608066404,1,,Filtr kabinowy B41002PR K1174,IC-A8FFE5,1,K 1174,Filtr kabiny,"13,52"
Filtr oleju Filtron OP 642/2,5904608036421,1,,Filtr powietrza B2C047PR AP 058/3,IC-BA709D,1,AP 058/3,Filtr powietrza,"13,51"
Filtr oleju Filtron oe 640/9,5904608106407,1,,Filtr powietrza B2W062PR,IC-C57EFA,1,B2W062PR,Filtr powietrza,"13,4"
Filtr oleju Filtron OE 648/2,5904608026484,1,,Filtr kabinowy B4V005PR K1115,IC-AA06A2,2,K 1115,Filtr kabiny,"13,26"
Filtr oleju Filtron OP 643/4,5904608056436,1,,Filtr powietrza Filtron AP 139/1,5904608021397,1,AP 139/1,Filtr powietrza,"13,23"
Filtr oleju Filtron OE 640/4,5904608046406,2,,Filtr powietrza Filtron AP 118/1,5904608011183,1,AP 118/1,Filtr powietrza,"13,18"
3,,,,Filtr powietrza B2S006PR AP 149/4,IC-AA0F25,2,AP 149/4,Filtr powietrza,"13,16"
"NAZWA_TOWA,C,120","SYMBOL,C,16","ILOSC,N,9,3",,Filtr powietrza B22050PR AP 167,IC-A9013D,1,AP 167,Filtr powietrza,"13,13"
Filtr powietrza B25055PR,IC-A8FDF4,1,,Uszczelka pokrywy zaw. EL717480,4041248487181,1,EL717480,Uszczelka pokrywy zaworów,"13,07"
Filtr powietrza B25031pr Ap 180,IC-A90046,1,,Filtr powietrza B2M036PR AR 327/1,IC-A9C540,1,AR 327/1,Filtr powietrza,"13,04"
Filtr powietrza B25049PR AP 181,IC-A90036,1,,Filtr oleju Filtron OP 592/9,5904608105929,1,OP 592/9,Filtr oleju,"13,03"
Filtr powietrza B2W020PR AP183,IC-AA0F22,2,,Filtr kabinowy B4W006PR K1024,IC-A9FCEB,1,K 1024,Filtr kabiny,"13,01"
Filtr powietrza B2W058PR AP 183/3,IC-BA7090,1,,Filtr powietrza Filtron AP 122/8,5904608091222,1,AP 122/8,Filtr powietrza,"12,94"
Filtr powietrza B2W041PR,IC-AA0CA9,1,,Filtr kabinowy B4R027PR K1167,IC-AA06F6,1,K 1167,Filtr kabiny,"12,9"
Filtr powietrza B21071PR AP 185/5,IC-AA0A3F,1,,Filtr paliwa FILTRON PS 865/4,5904608058652,2,PS 865/4,Filtr paliwa,"12,86"
Filtr powietrza B2S002PR AP 189/1,IC-AE7CE0,1,,Filtr oleju Filtron OE 650/2,5904608036506,3,OE 650/2,Filtr oleju,"12,84"
Filtr powietrza B2C055PR,IC-D8029E,1,,Filtr powietrza B2F049PR AR 234/3,IC-AEF6E1,2,AR 234/3,Filtr powietrza,"12,83"
Filtr powietrza B2R060PR,IC-C3E2B3,1,,Filtr powietrza Filtron AR 234/3,5904608042347,1,AR 234/3,Filtr powietrza,"12,83"
Filtr powietrza Filtron AR 286,5904608002860,1,,Filtr kabinowy B4R029PR-2X K1248-2X,IC-C3E2D5,2,K 1248-2X,Filtr kabiny,"12,74"
Filtr powietrza B2W050PR AP186,IC-B9C560,1,,Filtr powietrza B28030PR AP 130/9,IC-A8FDFB,2,AP 130/9,Filtr powietrza,"12,61"
Filtr powietrza Filtron AP 185/1,5904608011855,2,,Filtr powietrza Filtron AP 003/5,5904608060037,1,AP 003/5,Filtr powietrza,"12,56"
Filtr powietrza B2R048PR AP 185/2,IC-B9C580,1,,Filtr kabinowy Filtron K1055,5904608010551,1,K 1055,Filtr kabiny,"12,5"
Filtr powietrza B2R059PR,,1,,Filtr kabinowy B4G018PR K1154,IC-B46EE3,1,K 1154,Filtr kabiny,"12,44"
Filtr powietrza B2R040PR AP 135/2,IC-AA1EF6,1,,Filtr powietrza B2W010PR AP 063,IC-A9DE05,1,AP 063,Filtr powietrza,"12,33"
Filtr powietrza FILTRON AP134/3,5904608041340,1,,Filtr oleju Filtron OP 546/1,5904608025463,1,OP 546/1,Filtr oleju,"12,32"
Filtr powietrza B2C021PR AP 130/8,IC-AEF6DA,1,,Filtr powietrza B24058PR AP 104/7,IC-A8FDF1,1,AP 104/7,Filtr powietrza,"12,32"
